Obsolète;Code terrain;Toponyme;Type;Date creation;Dernière modification;Date validation;Position;Latitude;Longitude;Altitude;Consignes;Nombre de pistes;Nature première piste;Axe préférentiel première piste;Largeur première piste;Longueur première piste;Orientation première piste;Nature deuxième piste;Axe préférentiel deuxième piste;Largeur deuxième piste;Longueur deuxième piste;Orientation deuxième piste;Radio;Carburant;Facilités;Facilités en clair;Email de contact;Téléphone;Informations complémentaires;Gestionnaire terrain
"";"FM97401";"La Saline les Bains";"Règles spécifiques d'accès";"10/05/2011";"26/12/2015";"12/03/2026";"-21.097213,55.249107";"S 21 05 50";"E 055 14 57";"88 ft";"Main gauche 


Eviter survol zone urbanisée";"1";"dur";"'31";"10";"300";"'13-31";"";"";"";"";"";"123.500";"";"0";"invalid";"contact@airsports-reunion.com";"+33 6 92 61 53 61";"Plateforme ULM à usage permanent et accès règlementé


L'utilisation est soumise à l'autorisation du gestionnaire


Activité hélicoptère


Eviter le survol des habitations et circuit obligatoire coté montagne


Un circuit d'intégration a été défini conjointement avec les services de la DGAC


Piste en dur 310 mètres x 10 mètres avec revêtements asphalté";"AIRSPORTS REUNION";
"";"FM97402";"Cambaie";"Base ULM Accès privé";"20/10/2011";"16/10/2021";"5/01/2026";"-20.963263,55.281615";"S 20 57 48";"E 055 16 54";"45 ft";"Contact radio auto-info 122.100 MHz obligatoire.


Attention activité aéromodélisme au nord de la plateforme : verticale terrain 1000 ft ASFC minimum.


Activités occasionnelles drone, parachutages, lâchers de ballons stratosphériques annoncées sur 122.100 MHz.





Cartes et consignes particulières : https://drive.google.com/file/d/1rmtf7J1UNKPS3iCtmxO7aoe5VDYhjFj2/view?usp=sharing";"1";"dur";"";"20";"250";"'05-23";"";"";"";"";"";"122.100";"";"1,2,6";"Atelier ULM, Hangar possible, Restauration &agrave proximité";"pole.aero.cambaie@gmail.com";"+262 6 92 65 06 06";"";"Pôle Aéronautique de Cambaie";
"";"FM97403";"Grand Coude";"AltiSurface. Contact préalable impératif.";"9/06/2013";"25/04/2020";"7/10/2025";"-21.288811,55.623555";"S 21 17 20";"E 055 37 25";"3250 ft";"Seuil de piste 08 à 3250 pieds";"1";"herbe";"'08";"20";"200";"'08-26";"";"";"";"";"";"123.500";"";"0";"invalid";"lionel.sonnier@wanadoo.fr";"+262 692 222828";"Pilotes avions : qualification montagne obligatoire.


Seuil de piste à 3250 pieds


Haut de piste à 3700 pieds";"L. SONNIER";
"";"FM97404";"Uca";"Base ULM Autorisation OBLIGATOIRE ";"24/08/2011";"27/02/2022";"7/10/2025";"-20.985884,55.664506";"S 20 59 09";"E 055 39 52";"290 ft";"Verticale 1000 pieds puis descente vent ar 400/500 pieds";"1";"herbe";"'13";"23";"300";"'13-31";"";"";"";"";"";"123.5";"";"0";"invalid";"duberville.m.d@wanadoo.fr";"+2620692059205";"";"DANIEL DUBERVILLE ( PRESIDENT )";
"";"FM97405";"Adventure Réunion Paramoteur";"Base Paramoteurs Libre Ouvert aux ULM Autorisation OBLIGATOIRE ";"30/06/2020";"7/10/2025";"7/10/2025";"-21.112064,55.261705";"S 21 06 43";"E 055 15 42";"58 ft";"main gauche 300 ft AGL.


survol des habitation interdite.";"1";"terre";"";"80";"90";"'omnidir";"";"";"";"";"";"123,500-157.7125";"";"3";"Restauration sur place";"arp.paramoteur@gmail.com";"+262 0692696706";"Plateforme exclusivement réservée aux paramoteurs.


L'utilisation est soumise à l'autorisation du gestionnaire.


Règlement intérieur consultable sur place.";"ADVENTURE REUNION PARAMOTEUR";
"";"FMCZ";"Dzaoudzi Pamandzi";"Aérodrome C.A.P. Ouvert aux ULM Autorisation OBLIGATOIRE ";"4/10/2025";"4/10/2025";"7/10/2025";"-12.804595,45.279571";"S 12 48 17";"E 045 16 46";"";"Consulter VAC sur le site du SIA (onglet AIP / eAIP RUN / AD2 Aérodromes)";"1";"dur";"";"45";"1934";"'16-34";"";"";"";"";"";"119.200";"";"0";"invalid";"mayotte.pce@edeis.com";"";"";"";
"";"FMEE";"Roland-Garros";"Aérodrome C.A.P. Ouvert aux ULM Autorisation OBLIGATOIRE ";"28/03/2021";"3/10/2025";"7/10/2025";"-20.894283,55.519429";"S 20 53 39";"E 055 31 10";"";"";"2";"dur";"";"";"3000";"'12-30";"dur";"'14";"";"2500";"'14-32";"119.400";"";"0";"invalid";"";"+262262488181";"Interdit aux ACFT sans radio.";"";
"";"FMEP";"Saint Pierre Pierrefonds";"Aérodrome C.A.P. Libre d'accès aux ULM  ";"7/10/2025";"7/10/2025";"7/10/2025";"-21.321678,55.425625";"S 21 19 18";"E 055 25 32";"60 ft";"Voir VAC sur site du SIA (Rubrique eAIP/AIP RUN, partie 3 AD)";"1";"dur";"";"45";"2190";"'15-33";"";"";"";"";"";"122.400";"100LL, JET A1";"0";"invalid";"astreintezse@pierrefonds.aeroport.fr";"+262 262 96 80 00";"";"SYNDICAT MIXTE DE PIERREFONDS";
"";"LF0121";"La Tranclière";"Aérodrome Privé Avec Restrictions Autorisation OBLIGATOIRE ";"8/03/2011";"12/09/2018";"25/09/2025";"46.095759195808995,5.2860195079346";"N 46 05 45 ";"E 005 17 10";"820 ft";"Tour de piste impératif du côté autoroute.





Ne pas voler au dessus du village de la Tranclière.





Brume presque toujours dégagée.";"1";"herbe";"'36";"40";"640";"'18-36";"";"";"";"";"";"123.5";"à 4,5 kms";"4,6";"Gîte à proximité, Restauration &agrave proximité";"roger.emeriat@wanadoo.fr";"+33 4 74 46 84 34";"Terrain réservé aux appareils déclarés en préfecture. INTERDIT A TOUT AUTRE APPAREIL (ULM ou AVION).





Attention région très brumeuse.


Altiport de Corlier à 15 km presque toujours dégagé.





Tél du terrain 04 74 39 19 77


 


Hôtels Pont D'Ain à 4, 5 km.


Auberge du Mas Pommier à Druillat direction, Pont d'Ain tel 04 74 39 17 40";"Président Emeriat Roger";
"";"LF0125";"Lavours";"Base ULM Privé Avec Restrictions Autorisation OBLIGATOIRE ";"8/03/2011";"24/04/2025";"15/06/2026";"45.795718,5.773954";"N 45 47 45";"E 005 46 26";"765 ft";"TDP à l'Est sur le Rhône accolé 1200ft QNH.


Interdiction de survol des villages en rouge sur la photo.


Attention aux rouleaux par vent de travers.





1 TDP max aéronefs extérieurs. 3 TDP max appareils basés.";"1";"herbe";"'01";"20";"400";"'01-19";"";"";"";"";"";"125.335";"";"6";"Restauration &agrave proximité";"clubulmlavours@gmail.com";"+33 6 75 12 56 69";"Attention, base Hydro ULM club de Lavours à proximité (nord).


Site très sensible au bruit, base temporairement fermée aux non membres du Club ULM de Lavours.


Bien respecter les hauteurs de survol de la réserve naturelle de Lavours de 1000ft ASFC au Nord-Ouest. (Photo en annexe)


Fermeture des vols le dimanche de 12h30 à 14h et plus de décollage après 21h.";"Club ULM de Lavours";
